trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5075590218483147, 'e': 0.1459618808376496}",20,0,-27.699325308502633,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5124834316298316, 'e': 0.1387383236595616}",20,13,12.01187085233939,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5173585973135333, 'e': 0.13180733224441107}",20,16,7.372478226184308,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.522185011340398, 'e': 0.12516156120368985}",20,13,-0.5937006542055887,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5269631612269939, 'e': 0.11879352371416668}",20,13,11.894106287634557,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.531693529614724, 'e': 0.11269562215025823}",20,6,22.941029445865276,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5363765943185768, 'e': 0.10686017692165292}",20,11,15.232530988132133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.541012828375391, 'e': 0.10127945352904774}",20,12,16.151895373129246,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5456027000916371, 'e': 0.09594568785872844}",25,20,11.839053064555527,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5501466730907207, 'e': 0.09085110974381255}",20,14,9.759415638252854,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5546452063598135, 'e': 0.0859879648263047}",25,14,11.243100624669712,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5590987542962154, 'e': 0.08134853475971222}",20,6,25.248787193733726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5635077667532532, 'e': 0.07692515579686512}",20,12,14.045865335554849,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5678726890857206, 'e': 0.07271023581180952}",20,16,9.040725953426529,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
